hs6_code,ucc_code,ucc_description,map_weight,confidence_level
030383,070110,CANNED FISH AND SEAFOOD,0.3333,MEDIUM-LOW
030383,070230,FRESH FISH AND SHELLFISH,0.3333,MEDIUM-LOW
030383,070240,FROZEN FISH AND SHELLFISH,0.3333,MEDIUM-LOW
030384,070110,CANNED FISH AND SEAFOOD,0.3516,MEDIUM-HIGH
030384,070230,FRESH FISH AND SHELLFISH,0.3242,MEDIUM
030384,070240,FROZEN FISH AND SHELLFISH,0.3242,MEDIUM
030389,070110,CANNED FISH AND SEAFOOD,0.2593,MEDIUM
030389,070230,FRESH FISH AND SHELLFISH,0.2593,MEDIUM
030389,070240,FROZEN FISH AND SHELLFISH,0.2593,MEDIUM
030389,050410,LAMB AND ORGAN MEATS,0.222,MEDIUM
030390,070110,CANNED FISH AND SEAFOOD,0.3333,MEDIUM-HIGH
030390,070230,FRESH FISH AND SHELLFISH,0.3333,MEDIUM-HIGH
030390,070240,FROZEN FISH AND SHELLFISH,0.3333,MEDIUM-HIGH
030391,070110,CANNED FISH AND SEAFOOD,0.3333,MEDIUM-HIGH
030391,070230,FRESH FISH AND SHELLFISH,0.3333,MEDIUM-HIGH
030391,070240,FROZEN FISH AND SHELLFISH,0.3333,MEDIUM-HIGH
030392,070110,CANNED FISH AND SEAFOOD,0.3333,MEDIUM-HIGH
030392,070230,FRESH FISH AND SHELLFISH,0.3333,MEDIUM-HIGH
030392,070240,FROZEN FISH AND SHELLFISH,0.3333,MEDIUM-HIGH
030399,050410,LAMB AND ORGAN MEATS,0.3358,HIGH
030399,070110,CANNED FISH AND SEAFOOD,0.2214,MEDIUM
030399,070230,FRESH FISH AND SHELLFISH,0.2214,MEDIUM
030399,070240,FROZEN FISH AND SHELLFISH,0.2214,MEDIUM
030431,070110,CANNED FISH AND SEAFOOD,0.3333,MEDIUM-HIGH
030431,070230,FRESH FISH AND SHELLFISH,0.3333,MEDIUM-HIGH
030431,070240,FROZEN FISH AND SHELLFISH,0.3333,MEDIUM-HIGH
030432,070110,CANNED FISH AND SEAFOOD,0.2746,MEDIUM-HIGH
030432,070230,FRESH FISH AND SHELLFISH,0.2746,MEDIUM-HIGH
030432,070240,FROZEN FISH AND SHELLFISH,0.2746,MEDIUM-HIGH
