level1,level2,description,ucc_code
1,5,GIRLS'' SWIMWEAR (NEW UCC Q20191),390360
1,5,GIRLS'' UNIFORMS,390901
1,5,GIRLS'' COSTUMES,390902
1,4,MEN''S FOOTWEAR,400110
1,4,BOYS'' FOOTWEAR,400210
1,4,GIRLS'' FOOTWEAR,400220
1,4,WOMEN''S FOOTWEAR,400310
1,4,"INFANT COAT, JACKET, SNOWSUIT",410110
1,4,"INFANT DRESSES, OUTERWEAR",410120
1,4,INFANT UNDERWEAR,410130
1,4,"INFANT NIGHTWEAR, LOUNGEWEAR",410140
1,4,INFANT ACCESSORIES,410901
1,4,"MATERIAL AND SUPPLIES FOR SEWING, NEEDLEWORK, QUILTING",420115
1,4,WATCHES,430110
1,4,JEWELRY,430120
1,5,LUGGAGE,430130
1,4,SHOE REPAIR AND OTHER SHOE SERVICE,440110
1,4,COIN-OPERATED APPAREL LAUNDRY AND DRY CLEANING,440120
1,4,"ALTERATION, REPAIR AND TAILORING OF APPAREL AND",440130
1,4,CLOTHING RENTAL,440140
1,4,WATCH AND JEWELRY REPAIR,440150
1,4,APPAREL LAUNDRY AND DRY CLEANING NOT COIN-OPERATED,440210
1,4,CLOTHING STORAGE,440900
1,5,NEW CARS,450110
1,5,NEW TRUCKS,450210
1,5,NEW MOTORCYCLES,450220
1,7,CAR/TRUCK LEASE PAYMENTS,450350
1,7,EXTRA FEES FOR CAR/TRUCK LEASE,450351
1,7,TRADE IN ALLOWANCE FOR CAR/TRUCK LEASE,450352
1,7,CASH DOWNPAYMENT CAR/TRUCK LEASE,450353
1,7,TERMINATION FEE FOR CAR/TRUCK LEASE,450354
1,5,NEW AIRCRAFT,450900
1,5,USED CARS,460110
1,5,USED TRUCKS,460901
1,5,USED MOTORCYCLES,460902
1,5,USED AIRCRAFT,460903
1,4,GASOLINE,470111
1,4,DIESEL FUEL,470112
1,4,GASOLINE ON OUT-OF-TOWN TRIPS,470113
1,4,ALTERNATIVE FUELS,470114
1,4,MOTOR OIL,470211
1,4,MOTOR OIL ON OUT-OF-TOWN TRIPS,470212
1,5,"COOLANT, BRAKE FLUID, TRANSMISSION FLUID, AND OTHER",470220
1,4,ELECTRIC VEHICLE CHARGING,470311
1,5,"TIRES - PURCHASED, REPLACED, INSTALLED",480110
1,5,VEHICLE PRODUCTS AND CLEANING SERVICES,480212
1,5,"PARTS, EQUIPMENT, AND ACCESSORIES",480213
1,5,"MISC. AUTO REPAIR, SERVICING",490000
1,5,BODY WORK AND PAINTING,490110
1,5,VEHICLE OR ENGINE REPAIRS,490300
1,5,MOTOR TUNE-UP,490311
1,5,"LUBE, OIL CHANGE, AND OIL FILTERS",490312
1,5,"FRONT-END ALIGNMENT, WHEEL BALANCE AND ROTATION",490313
1,5,SHOCK ABSORBER REPLACEMENT,490314
1,5,"GAS TANK REPAIR, REPLACEMENT",490316
1,5,REPAIR TIRES AND OTHER REPAIR WORK,490318
1,5,AUTO REPAIR SERVICE POLICY,490900
1,4,VEHICLE INSURANCE,500110
1,5,AUTOMOBILE FINANCE CHARGES,510110
1,5,TRUCK FINANCE CHARGES,510901
1,5,MOTORCYCLE AND PLANE FINANCE CHARGES,510902
1,5,VEHICLE REGISTRATION STATE/LOCAL,520110
1,5,DRIVERS'' LICENSE,520310
1,5,VEHICLE INSPECTION,520410
