code_type,code,description,reason
HS6,284290,"Salts; of inorganic acids or peroxoacids, other than double or complex silicates, including aluminosilicates, whether or not chemically, excluding azides",No UCC match found above confidence threshold
HS6,284590,"Isotopes (excluding those of heading no. 2844); compounds, inorganic or organic, of such isotopes, whether or not chemically defined",No UCC match found above confidence threshold
HS6,284610,Cerium compounds,No UCC match found above confidence threshold
HS6,284700,Hydrogen peroxide; whether or not solidified with urea,No UCC match found above confidence threshold
HS6,285210,"Inorganic or organic compounds of mercury, excluding amalgams, chemically defined",No UCC match found above confidence threshold
HS6,285290,"Inorganic or organic compounds of mercury; excluding amalgams, not chemically defined,",No UCC match found above confidence threshold
HS6,285310,Inorganic compounds; cyanogen chloride (chlorcyan),No UCC match found above confidence threshold
HS6,290514,"Alcohols; saturated monohydric, butanols excluding item no. 2905.13",No UCC match found above confidence threshold
HS6,290519,"Alcohols; saturated monohydric, n.e.c. in item no. 2905.1",No UCC match found above confidence threshold
HS6,290522,"Alcohols; unsaturated monohydric, acyclic terpene alcohols",No UCC match found above confidence threshold
HS6,290529,"Alcohols; acyclic, unsaturated monohydric, (other than acyclic terpene alcohols)",No UCC match found above confidence threshold
HS6,290531,"Alcohols; acyclic, diols; ethylene glycol (ethanediol)",No UCC match found above confidence threshold
HS6,290532,"Alcohols; acyclic, diols; propylene glycol (propane-1, 2-diol)",No UCC match found above confidence threshold
HS6,290539,"Alcohols; acyclic, diols, other than ethylene glycol (ethandiol) or propylene glycol (propane-1,2-diol)",No UCC match found above confidence threshold
HS6,290541,"Alcohols; polyhydric, 2-ethyl-2- (hydroxymethyl) propane-1,3-diol (trimethylolpropane)",No UCC match found above confidence threshold
HS6,290542,"Alcohols; polyhydric, pentaerythritol",No UCC match found above confidence threshold
HS6,290543,"Alcohols; polyhydric, mannitol",No UCC match found above confidence threshold
HS6,290544,"Alcohols; polyhydric, d-glucitol (sorbitol)",No UCC match found above confidence threshold
HS6,290545,"Alcohols; polyhydric, glycerol",No UCC match found above confidence threshold
HS6,290549,"Alcohols; polyhydric, n.e.c. in item no. 2905.4",No UCC match found above confidence threshold
HS6,290551,"Alcohols; acyclic; halogenated, sulphonated, nitrated or nitrosated derivatives thereof, ethchlorvynol (INN)",No UCC match found above confidence threshold
HS6,290559,"Alcohols; acyclic; halogenated, sulphonated, nitrated or nitrosated derivatives thereof, other than ethchlorvynol (INN)",No UCC match found above confidence threshold
HS6,290612,"Alcohols; cyclanic, cyclenic or cycloterpenic and derivatives, cyclohexanol, methylcyclohexanols and dimethylcyclohexanols",No UCC match found above confidence threshold
HS6,290613,"Alcohols; cyclanic, cyclenic or cycloterpenic and derivatives, sterols and inositols",No UCC match found above confidence threshold
HS6,290619,"Alcohols; cyclanic, cyclenic or cycloterpenic and derivatives, n.e.c. in item no. 2906.1",No UCC match found above confidence threshold
HS6,290711,Monophenols; phenol (hydroxybenzene) and its salts,No UCC match found above confidence threshold
HS6,290712,Monophenols; cresols and their salts,No UCC match found above confidence threshold
HS6,290713,"Monophenols; octylphenol, nonylphenol and their isomers, salts thereof",No UCC match found above confidence threshold
HS6,290715,Monophenols; naphthols and their salts,No UCC match found above confidence threshold
HS6,290719,Monophenols; n.e.c. in item no. 2907.1,No UCC match found above confidence threshold
HS6,290721,Polyphenols; resorcinol and its salts,No UCC match found above confidence threshold
HS6,290722,Polyphenols; hydroquinone (quinol) and its salts,No UCC match found above confidence threshold
HS6,290723,"Polyphenols; 4,4'-isopropylidenediphenol (bisphenol A, diphenylolpropane) and its salts",No UCC match found above confidence threshold
HS6,290729,Phenol-alcohols and polyphenols n.e.c. in item number 2907.2,No UCC match found above confidence threshold
HS6,290911,"Ethers; acyclic, and their halogenated, sulphonated, nitrated or nitrosated derivatives, diethyl ether",No UCC match found above confidence threshold
HS6,290919,"Ethers; acyclic, and their halogenated, sulphonated, nitrated or nitrosated derivatives, other than diethyl ether",No UCC match found above confidence threshold
HS6,290920,"Ethers; cyclanic, cyclenic or cycloterpenic and their halogenated, sulphonated, nitrated or nitrosated derivatives",No UCC match found above confidence threshold
HS6,290930,"Ethers; aromatic, and their halogenated, sulphonated, nitrated or nitrosated derivatives",No UCC match found above confidence threshold
HS6,290941,"Ether-alcohols and their halogenated, sulphonated, nitrated or nitrosated derivatives; 2,2-oxydiethanol (diethylene glycol, digol)",No UCC match found above confidence threshold
